platform,dataset_size,operation_type,job_id,duration_seconds,mb_processed,total_slots_ms,avg_slot_utilization,table_id,row_count,cost_usd,timestamp
BigQuery,small,LOAD_COST,SUMMARY,0.0,508.3075828552246,0.0,0.0,LOAD_TOTAL,,0.003198,2025-06-22 08:29:21
BigQuery,small,LOAD,bqjob_r3c766f5754fa3820_0000019796bf4727_1,1.618,0.5855064392089844,234,0.1446229913473424,allergies,5417,,2025-06-22 08:26:48
BigQuery,small,LOAD,bqjob_r79bc86a9989c7f1f_0000019796bf64c1_1,2.329,7.084933280944824,903,0.3877200515242593,careplans,37715,,2025-06-22 08:26:55
BigQuery,small,LOAD,bqjob_r3240c4b7f9e9aa69_0000019796bf7f8b_1,2.526,13.05180549621582,984,0.38954869358669836,conditions,114544,,2025-06-22 08:27:02
BigQuery,small,LOAD,bqjob_r4aaf44be587ca164_0000019796bf9a6b_1,1.617,0.48190784454345703,159,0.09833024118738404,devices,2360,,2025-06-22 08:27:09
BigQuery,small,LOAD,bqjob_r15d64c154ea59d6_0000019796bfb0a8_1,6.713,89.40055561065674,7310,1.0889319231342172,encounters,321528,,2025-06-22 08:27:14
BigQuery,small,LOAD,bqjob_r484bc04a6fd35528_0000019796bfddcc_1,1.574,1.0201406478881836,181,0.11499364675984752,imaging_studies,4504,,2025-06-22 08:27:26
BigQuery,small,LOAD,bqjob_r5c2533e4ab793783_0000019796bff7c8_1,1.861,2.205556869506836,375,0.2015045674368619,immunizations,16481,,2025-06-22 08:27:33
BigQuery,small,LOAD,bqjob_r3116dc8773e3e82f_0000019796c011b6_1,7.138,100.4282636642456,6059,0.8488372093023255,medications,431262,,2025-06-22 08:27:40
BigQuery,small,LOAD,bqjob_r2df3307f0abc90d4_0000019796c041c7_1,8.32,244.97584056854248,16035,1.9272836538461537,observations,1659750,,2025-06-22 08:27:52
BigQuery,small,LOAD,bqjob_r6ca7f78d7853baab_0000019796c07413_1,1.797,0.7596950531005859,229,0.12743461324429606,organizations,5499,,2025-06-22 08:28:05
BigQuery,small,LOAD,bqjob_r6376c3c7fcd0e04d_0000019796c090f8_1,2.038,3.117563247680664,713,0.34985279685966636,patients,12352,,2025-06-22 08:28:12
BigQuery,small,LOAD,bqjob_re7061fc0d5087a2_0000019796c0a3ad_1,1.819,3.8941822052001953,534,0.29356789444749865,payer_transitions,41392,,2025-06-22 08:28:17
BigQuery,small,LOAD,bqjob_r495c77ba63954dc_0000019796c0b877_1,1.495,0.0020580291748046875,181,0.12107023411371237,payers,10,,2025-06-22 08:28:22
BigQuery,small,LOAD,bqjob_rfe0de42ae3178b1_0000019796c0e0dc_1,3.073,15.559304237365723,2575,0.8379433778067036,procedures,100427,,2025-06-22 08:28:34
BigQuery,small,LOAD,bqjob_r12e72d77a4604c56_0000019796c101ab_1,2.21,5.648037910461426,682,0.3085972850678733,providers,31764,,2025-06-22 08:28:41
BigQuery,small,LOAD,bqjob_r6b1cbd1c11b3ecad_0000019796c1171e_1,2.679,20.09223175048828,984,0.3673012318029115,supplies,143110,,2025-06-22 08:28:46
BigQuery,small,QUERY_COST,SUMMARY,0.0,276.74086570739746,0.0,0.0,QUERY_TOTAL,,0.001741,2025-06-22 09:04:46
BigQuery,small,QUERY,bqjob_r6d643d49c9233823_0000019796e0f508_1,1.52,32.51558971405029,0,0,anon44c6b8f3_382e_42cf_aae8_a730f8a76a90,0,,2025-06-22 09:03:35
BigQuery,small,QUERY,bqjob_r4c26abebdce59f82_0000019796e11891_1,9.873,72.23731327056885,0,0,anonf6d91174_0918_4f00_ae38_082a25142405,0,,2025-06-22 09:03:44
BigQuery,small,QUERY,bqjob_r79ad28dcdea54f30_0000019796e15978_1,1.935,8.419389724731445,0,0,anon26ab51c3_6894_4b71_a250_aaddf2bd04f4,0,,2025-06-22 09:04:00
BigQuery,small,QUERY,bqjob_r177cacf87592234f_0000019796e17d17_1,24.524,163.56857299804688,0,0,anonb012398f_3685_4c93_807e_b993a4b09dae,0,,2025-06-22 09:04:09
BigQuery,small,TRANSFORM_COST,SUMMARY,0.0,93.35014629364014,0.0,0.0,TRANSFORM_TOTAL,,0.000587,2025-06-22 09:30:42
BigQuery,small,TRANSFORM,bqjob_r2e026f0fae5791c2_0000019796f8f663_1,1.302,1.1501226425170898,0,0,patients_clean,0,,2025-06-22 09:29:48
BigQuery,small,TRANSFORM,bqjob_r173e1485f020c0fc_0000019796f92d60_1,4.747,76.64071941375732,0,0,medications_normalized,0,,2025-06-22 09:30:02
BigQuery,small,TRANSFORM,bqjob_r68fc1a6e453cce37_0000019796f96e7e_1,2.027,15.559304237365723,0,0,procedures_enriched,0,,2025-06-22 09:30:19
