platform,dataset_size,operation_type,job_id,duration_seconds,mb_processed,total_slots_ms,avg_slot_utilization,table_id,row_count,cost_usd,timestamp
BigQuery,medium,LOAD_COST,SUMMARY,0.0,965.3262481689453,0.0,0.0,LOAD_TOTAL,,0.006073,2025-06-22 09:48:30
BigQuery,medium,LOAD,bqjob_r63fd6d5065cafff0_000001979707af5e_1,1.679,0.35203075408935547,282,0.1679571173317451,allergies,2111,,2025-06-22 09:45:53
BigQuery,medium,LOAD,bqjob_r53ae6e82d48425ba_000001979707c859_1,1.581,1.1079978942871094,702,0.444022770398482,careplans,5875,,2025-06-22 09:45:59
BigQuery,medium,LOAD,bqjob_r727eb41adc0b7cc8_000001979707de24_1,6.753,55.07740783691406,11831,1.7519620909225528,claims,159848,,2025-06-22 09:46:05
BigQuery,medium,LOAD,bqjob_r73a1bf907e912da2_000001979708055e_1,11.11,589.8048105239868,102226,9.2012601260126,claims_transactions,1319937,,2025-06-22 09:46:15
BigQuery,medium,LOAD,bqjob_r647b159865fe1dfb_0000019797083fc2_1,2.557,7.455197334289551,1555,0.6081345326554556,conditions,55599,,2025-06-22 09:46:30
BigQuery,medium,LOAD,bqjob_r3eb9dbe03872bd16_00000197970854c5_1,1.688,1.6339292526245117,376,0.22274881516587677,devices,8315,,2025-06-22 09:46:35
BigQuery,medium,LOAD,bqjob_r3a1f18ed17a38340_0000019797086a2e_1,3.461,25.960620880126953,1466,0.4235770008668015,encounters,86474,,2025-06-22 09:46:40
BigQuery,medium,LOAD,bqjob_r596304de1fda6085_0000019797088360_1,4.881,56.6981258392334,3852,0.7891825445605408,imaging_studies,176994,,2025-06-22 09:46:47
BigQuery,medium,LOAD,bqjob_ra0003e2def33e07_000001979708a027_1,2.063,2.4866771697998047,374,0.18128938439166262,immunizations,18088,,2025-06-22 09:46:54
BigQuery,medium,LOAD,bqjob_r746eed3c1f2814b9_000001979708b959_1,3.18,17.52006721496582,1675,0.5267295597484277,medications,73374,,2025-06-22 09:47:01
BigQuery,medium,LOAD,bqjob_r1ad23463ce7767fc_000001979708d3bd_1,7.023,161.8717393875122,9280,1.321372632778015,observations,987416,,2025-06-22 09:47:09
BigQuery,medium,LOAD,bqjob_r25754a707cbbee3_000001979708fe95_1,1.558,0.14573287963867188,102,0.06546854942233633,organizations,974,,2025-06-22 09:47:18
BigQuery,medium,LOAD,bqjob_r75b9315e0333dd52_00000197970913d6_1,1.628,0.6369600296020508,202,0.12407862407862408,patients,2298,,2025-06-22 09:47:24
BigQuery,medium,LOAD,bqjob_rdfcf0e129fc6274_000001979709261f_1,1.915,1.9512958526611328,288,0.1503916449086162,payer_transitions,12725,,2025-06-22 09:47:29
BigQuery,medium,LOAD,bqjob_r1b4374ea63f2d187_0000019797093948_1,1.418,0.001651763916015625,150,0.10578279266572638,payers,10,,2025-06-22 09:47:33
BigQuery,medium,LOAD,bqjob_rc99e5df127d9859_0000019797094baf_1,5.503,37.296342849731445,3335,0.606033072869344,procedures,210963,,2025-06-22 09:47:38
BigQuery,medium,LOAD,bqjob_r578c098b94c38e73_0000019797096dae_1,1.504,0.177764892578125,125,0.08311170212765957,providers,974,,2025-06-22 09:47:47
BigQuery,medium,LOAD,bqjob_r57ad9d0ac233c2b_000001979709821b_1,2.016,5.147895812988281,424,0.21031746031746032,supplies,37556,,2025-06-22 09:47:52
BigQuery,medium,QUERY_COST,SUMMARY,0.0,132.37535095214844,0.0,0.0,QUERY_TOTAL,,0.000833,2025-06-22 10:28:29
BigQuery,medium,QUERY,bqjob_r76d5d54daded53d_00000197972ddb4c_1,1.26,8.704757690429688,0,0,anonbcf07165_b248_4ddc_b633_cf891f1610ab,0,,2025-06-22 10:27:35
BigQuery,medium,QUERY,bqjob_r5a8cdd1404c2cc7c_00000197972e0062_1,6.145,14.14794635772705,0,0,anona49ac7c2_07c7_453e_8d9e_c8627cbb2e0b,0,,2025-06-22 10:27:44
BigQuery,medium,QUERY,bqjob_r303ec429c1731703_00000197972e379d_1,3.261,4.594526290893555,0,0,anonaf24629b_1425_4a57_9904_666b8f5347d6,0,,2025-06-22 10:27:58
BigQuery,medium,QUERY,bqjob_r2ebaeffb1ecf768d_00000197972e60c8_1,9.586,104.92812061309814,0,0,anonddf7abaf_0bf3_492b_944e_587af837861a,0,,2025-06-22 10:28:08
BigQuery,medium,TRANSFORM_COST,SUMMARY,0.0,49.86724376678467,0.0,0.0,TRANSFORM_TOTAL,,0.000314,2025-06-22 10:30:06
BigQuery,medium,TRANSFORM,bqjob_r5cd5f65e17ce7c07_00000197972f5e79_1,1.458,0.2222309112548828,0,0,patients_clean,0,,2025-06-22 10:29:13
BigQuery,medium,TRANSFORM,bqjob_r3042d3aaefa12e17_00000197972f9573_1,1.887,12.34867000579834,0,0,medications_normalized,0,,2025-06-22 10:29:27
BigQuery,medium,TRANSFORM,bqjob_r198a5d0b6892fa25_00000197972fcbd7_1,2.562,37.296342849731445,0,0,procedures_enriched,0,,2025-06-22 10:29:41
